"","V1"
"1",0.772001028060913
"2",0.787019014358521
"3",0.829015016555786
"4",1.46900796890259
"5",0.910254955291748
"6",0.815002918243408
"7",0.834048986434937
"8",0.943008899688721
"9",0.875050067901611
"10",0.824011087417603
